comment,toxic
верблюд дебил бл,1
хохол отдушина затюканый россиянин мол вон хохлов плохой хохлов кисель придумать,1
собака собачий смерть,1
страница обновить дебил оскорбление доказать факт дебил множественный число писать верить твой воображать друг,1
убедить страничный пдф скрипаль отравить россия анализировать думать пытаться ватник,1
какой стан являться эталон современный система здравоохранение рф зимбабве тупой хохол,1
шапка ссылка инф текущий фильм марвести ссылка заменить фраза репортить брипидор игнорировать пост недостаточно понять модератор абсолютный неадекват нужно лишить полномочие этот борд пробивать абсолютный дно неадекватность,0
упад строить технология разворовать трещина пош тупой китаз мочь нормально сделать,1
ебать разносить шизик,1
обосраться сидеть обтекать,1
писать хуйня дегенерат поцелуй губа поцелуй засос,1
бактерия ты понять истый рик подробный сахаров н вещать бред написать всё логично фраза обратить ты твой проблема учиться изъясняться определённый заказать книга второй мировой война ой извинить шваль просто чернь условие действительно заказать маняграфия,1
почитать пост автор найти полезный надеяться помочь,0
урод семья поколение родиться,1
мочь ещё модер безмозглый позвать,1
хороший врать террорист торчечь шизофреник пруф костюм чуткий учёный миллиардер филантроп,1
весь кстати наплевать главное уровень жизнь вдвойне наплевать кукареканье тупорылый хохол форум помойка,1
график обидно проходить серия гта второй часть пятый кроме гта мешать графика один часть комп куча видеокарта начинать мб заканчивать гб который спокойно играть который год танк гта ведьмак купить распродажа начать проходить ультр понизить текстура мешать понимать дрочева графика требовать график уровень плойка минимум глаз резать повод управление хватать переходник джойстик иксбокс потенциал мобильный игра достаточно забить кнопка забиваться тот самый плохой игра,0
вообще мимо идти поплакать твой головушка подзалупный истеричка далёкий пойти тупой обмануть ванька тот воевак глупый невоспитанный бедный прошлое будущее наебали ресентимент ушлый чекист такой жирный приживал гейгорка гоблач всё снимать личный ответственность жизнь поступок очень жаль рука ты подать отгрызть,1
мэдисон стример троллинг мать детство ронять ты нравиться прикидываться тупой просто тупой,1
посмотреть комментарий твой пост процент говнокоммент ниже средний отметка,1
утверждать чмоха спалиться,1
оба страна партия война оба страна этот война разжигаться поддерживаться смотреть парень руснявый пиздежа пидаран требовать хороший отношение маня украина хуярить роиса град украина засылать роися террорист бандит ихтамнет харк ты ести спидознать тварь,1
причём чувство юмор придумать опровергнуть писать считать весёлый нация,1
агрессия ткнуть твой дерьмо обтекать отрицательный эмоция просто факт,1
иметь против кремль холоп заморский барин,1
ох вау сторона нож резать подсказать дебил хвастаться рязанский еблом ещё гуглита незнакомый словечко весь быть никто нужный селюк никто нужный тред,1
смешно урод мочь поржать объяснить урод приспособиться это жить пока потреблять удобный тот продавать хавка цацка скорее верно ваш утверждение мир ебануть узко смотреть,1
,0
